"X","Barri","Area","Habitacions","Lavabos","Preu","Immobiliaria","ConsumoEtiqueta","ConsumokW","EmisionesEtiqueta","Emisioneskg","Data.anunci","Aire_acondicionat","Moblat","Any_construccio","Calefaccio","Transport_public_proper","Llar_de_foc","Obra_nova","Piscina_propia","Plaza_parking","Ascensor","Equipamient_esportiu","Jardi_comunitari","Piscina_comunitaria","Vigilancia","Districte","Preu_m2"
198,"El Clot",100,3,2,405000,"FINQUES RODÉS","G",266,"E",56,2022-04-04,"Yes","No",1998,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",4050
200,"Sant Gervasi - Galvany",90,3,2,435000,"ENGEL & VOELKERS","E",164,"E",32,2022-03-22,"Yes","No",1951,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",4833.33333333333
202,"Sant Ramon - Maternitat",83,4,2,365000,"LA CASA AGENCY - PUNTO BADAL","E",121,"D",45,2022-04-06,"No","No",1977,"No","No","No","No","No","Yes","Yes","No","No","No","No","Les Corts",4397.59036144578
203,"La Sagrera",65,2,1,189000,"LA CASA AGENCY","E",132,"E",32,2022-03-29,"No","No",1965,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Andreu",2907.69230769231
207,"Provençals del Poblenou",81,3,1,258000,"LA CASA AGENCY","E",112,"D",19,2022-03-23,"No","No",1970,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",3185.18518518519
209,"Guinardó",92,3,2,310000,"COLIBREE","D",110,"D",23,2022-04-01,"No","No",1967,"No","No","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",3369.5652173913
211,"Sant Gervasi - Galvany",95,4,2,530000,"CASAVO","D",103,"D",21,2022-03-15,"Yes","No",1982,"No","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",5578.94736842105
212,"Sarrià",105,2,2,645000,"GEINBAR","E",125,"E",45,2022-04-07,"Yes","Yes",2001,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Sarria Sant Gervasi",6142.85714285714
214,"Sagrada Família",110,4,1,440000,"PUNT SAGRADA FAMILIA, S.L.","F",195,"E",58,2022-04-05,"Yes","Yes",1920,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4000
217,"Camp de l´Arpa",96,2,1,530000,"BUSQUETS GALVEZ","G",999,"G",999,2022-01-31,"Yes","No",2022,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",5520.83333333333
218,"El Coll",70,2,1,180000,"IMMOMAX","F",213,"E",45,2022-03-22,"Yes","Yes",1972,"Yes","No","No","No","No","No","Yes","No","No","No","No","Gracia",2571.42857142857
220,"Glòries El Parc",49,2,2,278000,"PROYECTO CASA","E",189,"E",35,2022-03-05,"Yes","No",1880,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",5673.4693877551
222,"Prosperitat",48,2,1,119000,"INMO-GESTIÓN","G",999,"G",999,2022-04-08,"No","No",1960,"No","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",2479.16666666667
223,"Sant Gervasi - Galvany",124,3,2,608000,"FINQUES MARBA","E",132,"E",27,2022-03-24,"Yes","No",1969,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Sarria Sant Gervasi",4903.22580645161
229,"Sagrada Família",70,3,1,249000,"LA CASA AGENCY","E",132,"E",32,2022-04-08,"No","No",1970,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",3557.14285714286
230,"Gòtic",48,1,1,149500,"J&J IMMOBLES","G",384,"G",95,2021-11-02,"Yes","Yes",1850,"Yes","No","No","No","No","No","Yes","No","No","No","No","Ciutat Vella",3114.58333333333
231,"Poble Sec",81,2,2,335000,"EUROFINCAS","G",362,"G",76,2022-03-31,"Yes","Yes",1900,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",4135.8024691358
232,"Congrés - Indians",95,2,1,315000,"ALL4FLAT","G",999,"G",999,2022-04-08,"Yes","No",2017,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Andreu",3315.78947368421
235,"Sant Martí",68,2,1,230000,"LA CASA AGENCY","E",129,"E",31,2022-03-11,"No","No",1966,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",3382.35294117647
237,"Gòtic",87,2,2,440000,"HOMIM","E",151,"E",25,2022-03-23,"Yes","No",1840,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Ciutat Vella",5057.47126436782
238,"Badal",68,2,1,250000,"hooli HOME","G",266,"F",51,2022-03-07,"No","No",1933,"No","No","No","No","No","No","No","No","No","No","No","Sants Montjuic",3676.47058823529
239,"El Clot",158,4,2,530000,"PatrimoniaPREMIUM","E",123,"E",26,2022-02-09,"No","No",1944,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",3354.43037974684
240,"Porta",305,3,2,435000,"La Casa Agency","E",234,"E",54,2022-04-08,"No","No",1971,"No","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",1426.22950819672
241,"Sant Martí",68,3,1,2e+05,"LA CASA GRUP","F",999,"F",999,2022-04-06,"No","No",1970,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",2941.17647058824
242,"Sants",98,3,2,420000,"LA CASA AGENCY - PUNTO BADAL","D",121,"E",45,2022-04-06,"No","No",1978,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",4285.71428571429
244,"Sant Antoni",70,3,1,308000,"Gallart Real Estate s.l","G",999,"G",999,2022-04-04,"No","No",1920,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4400
